s-sta-id,s-name,s-lat,s-lng,s-id
455,1 Ave & E 44 St,40.75001986,-73.96905301,71
456,E 53 St & Madison Ave,40.7597108,-73.97402311,71
458,11 Ave & W 27 St,40.751396,-74.005226,71
459,W 20 St & 11 Ave,40.746745,-74.007756,71
460,S 4 St & Wythe Ave,40.71285887,-73.96590294,71
461,E 20 St & 2 Ave,40.73587678,-73.98205027,71
462,W 22 St & 10 Ave,40.74691959,-74.00451887,71
465,Broadway & W 41 St,40.75513557,-73.98658032,71
466,W 25 St & 6 Ave,40.74395411,-73.99144871,71
467,Dean St & 4 Ave,40.68312489,-73.97895137,71
468,Broadway & W 56 St,40.7652654,-73.98192338,71
469,Broadway & W 53 St,40.76344058,-73.98268129,71
470,W 20 St & 8 Ave,40.74345335,-74.00004031,71
471,Grand St & Havemeyer St,40.71286844,-73.95698119,71
472,E 32 St & Park Ave,40.7457121,-73.98194829,71
473,Rivington St & Chrystie St,40.72110063,-73.9919254,71
474,5 Ave & E 29 St,40.7451677,-73.98683077,71
476,E 31 St & 3 Ave,40.74394314,-73.97966069,71
477,W 41 St & 8 Ave,40.75640548,-73.9900262,71
478,11 Ave & W 41 St,40.76030096,-73.99884222,71
479,9 Ave & W 45 St,40.76019252,-73.9912551,71
480,W 53 St & 10 Ave,40.76669671,-73.99061728,71
481,S 3 St & Bedford Ave,40.71260486,-73.96264403,71
482,W 15 St & 7 Ave,40.73935542,-73.99931783,71
483,E 12 St & 3 Ave,40.73223272,-73.98889957,71
485,W 37 St & 5 Ave,40.75038009,-73.98338988,71
486,Broadway & W 29 St,40.7462009,-73.98855723,71
487,E 20 St & FDR Drive,40.73314259,-73.97573881,71
489,10 Ave & W 28 St,40.75066386,-74.00176802,71
490,8 Ave & W 33 St,40.751551,-73.993934,71
492,W 33 St & 7 Ave,40.75019995,-73.99093085,71
493,W 45 St & 6 Ave,40.7568001,-73.98291153,71
494,W 26 St & 8 Ave,40.74734825,-73.99723551,71
495,W 47 St & 10 Ave,40.76269882,-73.99301222,71
496,E 16 St & 5 Ave,40.73726186,-73.99238967,71
497,E 17 St & Broadway,40.73704984,-73.99009296,71
498,Broadway & W 32 St,40.74854862,-73.98808416,71
499,Broadway & W 60 St,40.76915505,-73.98191841,71
500,Broadway & W 51 St,40.76228826,-73.98336183,71
501,FDR Drive & E 35 St,40.744219,-73.97121214,71
502,Henry St & Grand St,40.714215,-73.981346,71
503,E 20 St & Park Ave,40.73827428,-73.98751968,71
504,1 Ave & E 16 St,40.73221853,-73.98165557,71
505,6 Ave & W 33 St,40.74901271,-73.98848395,71
507,E 25 St & 2 Ave,40.73912601,-73.97973776,71
508,W 46 St & 11 Ave,40.76341379,-73.99667444,71
509,9 Ave & W 22 St,40.7454973,-74.00197139,71
513,W 56 St & 10 Ave,40.768254,-73.988639,71
514,12 Ave & W 40 St,40.76087502,-74.00277668,71
515,W 43 St & 10 Ave,40.76009437,-73.99461843,71
516,E 47 St & 1 Ave,40.75206862,-73.96784384,71
517,Pershing Square South,40.751581,-73.97791,71
518,E 39 St & 2 Ave,40.74780373,-73.9734419,71
519,Pershing Square North,40.751873,-73.977706,71
522,E 51 St & Lexington Ave,40.75714758,-73.97207836,71
523,W 38 St & 8 Ave,40.75466591,-73.99138152,71
524,W 43 St & 6 Ave,40.75527307,-73.98316936,71
525,W 34 St & 11 Ave,40.75594159,-74.0021163,71
526,E 33 St & 5 Ave,40.74765947,-73.98490707,71
528,2 Ave & E 31 St,40.74290902,-73.97706058,71
529,W 42 St & 8 Ave,40.7575699,-73.99098507,71
530,11 Ave & W 59 St,40.77149671054441,-73.99046033620834,71
531,Forsyth St & Broome St,40.71893904,-73.99266288,71
532,S 5 Pl & S 5 St,40.710451,-73.960876,71
533,Broadway & W 38 St,40.75299641,-73.98721619,71
534,Water - Whitehall Plaza,40.70255065,-74.0127234,71
536,1 Ave & E 30 St,40.74144387,-73.97536082,71
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,71
540,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,71
545,E 23 St & 1 Ave,40.736502,-73.97809472,71
546,E 30 St & Park Ave S,40.74444921,-73.98303529,71
2000,Front St & Washington St,40.70255088,-73.98940236,71
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,71
2003,1 Ave & E 18 St,40.733812191966315,-73.98054420948029,71
2005,Railroad Ave & Kay Ave,40.70531194,-73.97100056,71
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,71
2008,Little West St & 1 Pl,40.70569254,-74.01677685,71
2009,Catherine St & Monroe St,40.71117444,-73.99682619,71
2010,Grand St & Greene St,40.72165481,-74.00234737,71
2012,E 27 St & 1 Ave,40.739445,-73.976806,71
2017,E 43 St & 2 Ave,40.75022392,-73.97121414,71
2021,W 45 St & 8 Ave,40.75929124,-73.98859651,71
2022,E 60 St & York Ave,40.759107,-73.959223,71
3002,South End Ave & Liberty St,40.711512,-74.015756,71
3016,Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,71
3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,71
3042,Fulton St & Utica Ave,40.6794268,-73.9298911,71
3043,Lewis Ave & Decatur St,40.6814598,-73.934903,71
3044,Albany Ave & Fulton St,40.6800105,-73.938475,71
3046,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,71
3047,Halsey St & Tompkins Ave,40.6823687,-73.944118,71
3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977,71
3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,71
3050,Putnam Ave & Throop Ave,40.6851532,-73.94111,71
3052,Lewis Ave & Madison St,40.686312,-73.935775,71
3053,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,71
3054,Greene Ave & Throop Ave,40.6894932,-73.942061,71
3055,Greene Ave & Nostrand Ave,40.6883337,-73.950916,71
3056,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,71
3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,71
3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,71
3059,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877,71
3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,71
3061,Throop Ave & Myrtle Ave,40.69622937,-73.94371094,71
3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,71
3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,71
3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,71
3065,Union Ave & Wallabout St,40.70029511,-73.95032283,71
3066,Tompkins Ave & Hopkins St,40.69957608,-73.94708417,71
3067,Broadway & Whipple St,40.7016657,-73.9437303,71
3068,Humboldt St & Varet St,40.7031724,-73.940636,71
3069,Lorimer St & Broadway,40.70411791,-73.94818595,71
3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,71
3071,Boerum St & Broadway,40.70538077,-73.94976519,71
3072,Leonard St & Boerum St,40.70583339,-73.94644578,71
3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,71
3075,Division Ave & Marcy Ave,40.70708701,-73.95796783,71
3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625,71
3077,Stagg St & Union Ave,40.70877084,-73.95095259,71
3078,Broadway & Roebling St,40.70924826276157,-73.96063148975372,71
3080,S 4 St & Rodney St,40.70934,-73.95608,71
3081,Graham Ave & Grand St,40.711863,-73.944024,71
3082,Hope St & Union Ave,40.71167351,-73.95141312,71
3083,Bushwick Ave & Powers St,40.71247661,-73.94100005,71
3085,Roebling St & N 4 St,40.71469,-73.95739,71
3086,Graham Ave & Conselyea St,40.715143,-73.944507,71
3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,71
3088,Union Ave & Jackson St,40.7160751,-73.952029,71
3092,Berry St & N 8 St,40.7190095,-73.95852515,71
3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,71
3094,Graham Ave & Withers St,40.7169811,-73.94485918,71
3095,Graham Ave & Herbert St,40.71929301,-73.94500379,71
3096,Union Ave & N 12 St,40.71924,-73.95242,71
3100,Nassau Ave & Newell St,40.724812564400175,-73.94752621650696,71
3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,71
3102,Driggs Ave & Lorimer St,40.72179134,-73.9504154,71
3105,N 15 St & Wythe Ave,40.724055,-73.955736,71
3106,Driggs Ave & N Henry St,40.72325,-73.94308,71
3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,71
3108,Nassau Ave & Russell St,40.72557,-73.94434,71
3109,Banker St & Meserole Ave,40.72606,-73.95621,71
3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,71
3112,Milton St & Franklin St,40.72906,-73.95779,71
3113,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,71
3115,India St & Manhattan Ave,40.73232194,-73.9550858,71
3116,Huron St & Franklin St,40.73266,-73.95826,71
